(240.0, 513.0)
(241.5, 498.0)
(241.5, 481.5)
(241.5, 462.0)
(241.5, 441.0)
(243.0, 426.0)
(244.5, 411.0)
(244.5, 393.0)
(250.5, 372.0)
(253.5, 355.5)
(261.0, 333.0)
(270.0, 316.5)
(285.0, 298.5)
(301.5, 289.5)
(319.5, 279.0)
(336.0, 277.5)
(357.0, 276.0)
(376.5, 274.5)
(402.0, 274.5)
(426.0, 282.0)
(448.5, 292.5)
(468.0, 301.5)
(486.0, 310.5)
(505.5, 321.0)
(523.5, 330.0)
(541.5, 336.0)
(556.5, 337.5)
(580.5, 340.5)
(597.0, 340.5)
(624.0, 330.0)
(640.5, 322.5)
(669.0, 306.0)
(682.5, 291.0)
(691.5, 277.5)
(703.5, 258.0)
(717.0, 235.5)
(735.0, 217.5)
(759.0, 205.5)
(772.5, 195.0)
(790.5, 187.5)
(814.5, 183.0)
(852.0, 181.5)
(880.5, 186.0)
(900.0, 192.0)
(915.0, 198.0)
(934.5, 213.0)
(949.5, 225.0)
(969.0, 243.0)
(987.0, 264.0)
(999.0, 283.5)
(1008.0, 301.5)
(1020.0, 325.5)
(1027.5, 349.5)
(1026.0, 384.0)
(1021.5, 403.5)
(1017.0, 420.0)
(1005.0, 444.0)
(994.5, 456.0)
(981.0, 465.0)
(964.5, 471.0)
(942.0, 475.5)
(919.5, 481.5)
(900.0, 486.0)
(885.0, 489.0)
(868.5, 493.5)
(849.0, 505.5)
(834.0, 520.5)
(829.5, 544.5)
(829.5, 561.0)
(835.5, 583.5)
(844.5, 598.5)
(870.0, 621.0)
(889.5, 628.5)
(906.0, 636.0)
(927.0, 642.0)
(945.0, 643.5)
(967.5, 643.5)
(994.5, 643.5)
(1012.5, 639.0)
(1030.5, 634.5)
(1053.0, 627.0)
(1068.0, 618.0)
(1084.5, 607.5)
(1099.5, 600.0)
(1116.0, 591.0)
(1128.0, 580.5)
(1141.5, 573.0)
(1162.5, 559.5)
(1174.5, 547.5)
(1197.0, 526.5)
(1210.5, 517.5)
(1224.0, 507.0)
(1236.0, 495.0)
(1254.0, 484.5)
(1278.0, 471.0)
(1299.0, 465.0)
(1317.0, 462.0)
(1341.0, 460.5)
(1368.0, 460.5)
(1383.0, 463.5)
(1404.0, 474.0)
(1422.0, 486.0)
(1437.0, 501.0)
(1449.0, 516.0)
(1456.5, 529.5)
(1464.0, 553.5)
(1470.0, 570.0)
(1473.0, 591.0)
(1473.0, 612.0)
(1473.0, 628.5)
(1473.0, 652.5)
(1471.5, 673.5)
(1465.5, 699.0)
(1455.0, 726.0)
(1438.5, 745.5)
(1426.5, 768.0)
(1419.0, 781.5)
(1405.5, 796.5)
(1381.5, 822.0)
(1363.5, 840.0)
(1345.5, 858.0)
(1327.5, 879.0)
(1314.0, 889.5)
(1294.5, 903.0)
(1279.5, 913.5)
(1257.0, 927.0)
(1240.5, 936.0)
(1224.0, 940.5)
(1201.5, 949.5)
(1173.0, 957.0)
(1152.0, 961.5)
(1128.0, 964.5)
(1111.5, 967.5)
(1096.5, 969.0)
(1074.0, 969.0)
(1057.5, 969.0)
(1039.5, 967.5)
(1015.5, 960.0)
(987.0, 952.5)
(967.5, 946.5)
(948.0, 937.5)
(924.0, 927.0)
(910.5, 919.5)
(892.5, 915.0)
(871.5, 907.5)
(849.0, 904.5)
(831.0, 901.5)
(816.0, 900.0)
(796.5, 897.0)
(775.5, 897.0)
(757.5, 894.0)
(733.5, 894.0)
(714.0, 894.0)
(694.5, 894.0)
(670.5, 897.0)
(651.0, 897.0)
(636.0, 898.5)
(621.0, 900.0)
(604.5, 900.0)
(583.5, 901.5)
(562.5, 901.5)
(541.5, 901.5)
(520.5, 901.5)
(498.0, 898.5)
(469.5, 892.5)
(451.5, 888.0)
(429.0, 883.5)
(406.5, 870.0)
(390.0, 853.5)
(375.0, 838.5)
(364.5, 825.0)
(354.0, 810.0)
(339.0, 798.0)
(327.0, 781.5)
(315.0, 765.0)
(304.5, 753.0)
(294.0, 736.5)
(286.5, 720.0)
(280.5, 703.5)
(273.0, 690.0)
(264.0, 672.0)
(261.0, 657.0)
(253.5, 637.5)
(246.0, 621.0)
(235.5, 607.5)
(234.0, 589.5)
(234.0, 570.0)
(234.0, 553.5)
(234.0, 537.0)
(237.0, 522.0)
