(204.18611, 494.26862, 204.0, 481.5)
(204.0, 481.5, 204.0, 462.0)
(204.0, 462.0, 204.0, 441.0)
(204.0, 441.0, 205.68611, 422.26862)
(205.68611, 422.26862, 207.18611, 407.26862)
(207.18611, 407.26862, 207.0, 393.0)
(207.0, 393.0, 214.44286, 361.69797)
(214.44286, 361.69797, 216.60487, 348.7918)
(216.60487, 348.7918, 225.42438, 321.14145)
(225.42438, 321.14145, 237.07892, 298.54306)
(237.07892, 298.54306, 256.1917, 274.4931)
(256.1917, 274.4931, 283.54303, 256.57892)
(283.54303, 256.57892, 300.60483, 246.60829)
(300.60483, 246.60829, 332.60492, 240.154)
(332.60492, 240.154, 354.32825, 238.5953)
(354.32825, 238.5953, 373.62387, 237.11046)
(373.62387, 237.11046, 402.0, 237.0)
(402.0, 237.0, 437.1853, 246.207)
(437.1853, 246.207, 464.35822, 258.51813)
(464.35822, 258.51813, 483.7147, 267.45154)
(483.7147, 267.45154, 502.7705, 276.95898)
(502.7705, 276.95898, 523.27875, 287.98233)
(523.27875, 287.98233, 540.2705, 296.45898)
(540.2705, 296.45898, 553.3585, 300.42438)
(553.3585, 300.42438, 560.2314, 300.1861)
(560.2314, 300.1861, 585.1513, 303.28958)
(585.1513, 303.28958, 597.0, 303.0)
(597.0, 303.0, 610.40826, 295.04984)
(610.40826, 295.04984, 624.98236, 288.36127)
(624.98236, 288.36127, 650.2111, 273.5465)
(650.2111, 273.5465, 654.62646, 265.91382)
(654.62646, 265.91382, 660.2981, 256.69873)
(660.2981, 256.69873, 671.5628, 238.34634)
(671.5628, 238.34634, 684.844, 216.2064)
(684.844, 216.2064, 708.4835, 190.98349)
(708.4835, 190.98349, 742.2295, 171.95898)
(742.2295, 171.95898, 749.47723, 165.39929)
(749.47723, 165.39929, 776.0769, 152.88461)
(776.0769, 152.88461, 807.5892, 146.14229)
(807.5892, 146.14229, 850.5012, 144.02997)
(850.5012, 144.02997, 886.3486, 148.9589)
(886.3486, 148.9589, 911.0282, 156.1583)
(911.0282, 156.1583, 928.9271, 163.18213)
(928.9271, 163.18213, 957.36414, 183.2766)
(957.36414, 183.2766, 972.9261, 195.71742)
(972.9261, 195.71742, 994.4355, 215.44487)
(994.4355, 215.44487, 1015.4721, 239.59532)
(1015.4721, 239.59532, 1030.9371, 263.84634)
(1030.9371, 263.84634, 1041.541, 284.7295)
(1041.541, 284.7295, 1053.541, 308.7295)
(1053.541, 308.7295, 1063.293, 338.3147)
(1063.293, 338.3147, 1063.4646, 385.6289)
(1063.4646, 385.6289, 1058.0397, 411.93222)
(1058.0397, 411.93222, 1053.1786, 429.8669)
(1053.1786, 429.8669, 1038.541, 460.7705)
(1038.541, 460.7705, 1022.7216, 480.6939)
(1022.7216, 480.6939, 1001.8013, 496.20187)
